
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-6-1,53,50,46,48,45,43,93,86,77,30.23,30.19,30.16,10,10,4,14,11,18,0.00,7,Rain,45<br />
2015-6-2,64,56,50,52,49,47,93,79,60,30.20,30.17,30.12,10,10,9,18,9,24,0.00,2,,47<br />
2015-6-3,70,59,48,58,52,46,96,76,52,30.15,30.11,30.06,10,9,2,14,4,,0.00,1,,73<br />
2015-6-4,78,67,57,63,60,56,93,78,62,30.11,30.06,30.01,10,10,9,12,6,,0.00,5,,147<br />
2015-6-5,82,71,61,63,60,57,90,75,48,30.05,30.00,29.94,10,10,8,15,5,24,0.00,4,,356<br />
2015-6-6,66,60,53,56,53,44,86,75,50,30.15,30.10,30.04,10,10,7,17,10,22,0.00,4,,50<br />
2015-6-7,82,66,50,65,57,46,89,68,47,30.06,29.92,29.72,10,10,10,18,8,24,0.00,2,Rain,202<br />
2015-6-8,79,72,64,66,63,57,90,76,64,29.78,29.72,29.66,10,10,10,22,13,26,0.03,5,Rain,253<br />
2015-6-9,75,68,60,59,57,55,87,73,50,29.83,29.78,29.68,10,10,7,14,8,18,0.00,4,,277<br />
2015-6-10,89,75,61,64,61,57,87,65,42,29.85,29.79,29.73,10,9,5,23,10,33,0.00,3,Rain,234<br />
2015-6-11,75,70,64,66,61,54,93,74,53,29.94,29.91,29.82,10,9,6,13,7,,0.09,3,,63<br />
2015-6-12,89,76,63,69,66,59,91,80,50,29.97,29.88,29.81,10,8,1,25,9,34,0.39,4,Rain,245<br />
2015-6-13,79,70,60,70,63,57,97,86,74,30.06,30.02,29.97,10,9,5,9,5,,0.10,5,Rain,52<br />
2015-6-14,84,76,69,74,69,66,96,86,69,30.03,29.98,29.93,10,9,1,31,9,44,0.61,4,Rain,243<br />
2015-6-15,84,76,71,74,71,69,100,88,69,30.01,29.97,29.91,10,9,2,15,8,21,0.22,5,Rain,257<br />
2015-6-16,75,70,64,71,65,56,100,81,52,30.14,30.01,29.89,10,9,2,14,9,21,0.46,4,Rain,322<br />
2015-6-17,73,67,61,64,60,53,84,74,66,30.13,30.05,29.99,10,10,10,14,7,,0.00,4,Rain,168<br />
2015-6-18,82,75,68,70,67,64,94,86,62,30.00,29.96,29.91,10,8,0,16,7,30,1.40,7,Fog-Rain,238<br />
2015-6-19,69,66,63,65,59,56,93,81,70,30.10,30.04,29.95,10,10,6,15,8,,0.00,5,,17<br />
2015-6-20,77,70,63,68,65,60,93,82,71,30.02,29.89,29.80,10,9,6,12,5,,0.00,5,Rain,151<br />
2015-6-21,80,74,69,69,67,65,93,83,66,29.96,29.88,29.82,10,8,1,14,8,,0.34,5,Rain,281<br />
2015-6-22,84,72,62,72,66,60,93,75,58,30.04,29.96,29.81,10,9,2,18,8,32,0.11,2,Rain,213<br />
2015-6-23,78,71,63,72,65,58,94,75,54,30.06,29.90,29.80,10,10,8,20,12,28,0.00,4,Rain,314<br />
2015-6-24,75,67,59,62,57,53,93,71,48,30.17,30.13,30.06,10,10,7,12,3,,0.00,0,,333<br />
2015-6-25,71,66,61,64,61,56,90,83,68,30.12,30.02,29.98,10,9,6,12,4,,0.00,6,Rain,174<br />
2015-6-26,75,67,61,63,59,56,94,77,59,30.04,30.00,29.94,10,7,2,14,5,,0.00,2,Rain,70<br />
2015-6-27,72,66,61,66,62,57,94,89,75,29.93,29.70,29.59,10,6,1,17,7,26,2.29,8,Rain,95<br />
2015-6-28,69,63,57,60,56,53,93,84,57,29.92,29.78,29.61,10,8,2,20,9,26,0.14,6,Rain,347<br />
2015-6-29,68,60,55,61,58,54,93,84,75,29.94,29.89,29.83,10,10,7,10,6,,0.08,5,Rain,176<br />
2015-6-30,73,68,62,66,61,59,96,85,64,29.84,29.80,29.76,10,8,4,15,5,21,0.07,6,Rain,238<br />
